	"C++ variable name"	"Det_number"	"Det_name"	"Det_active"	"Det_Group"	"Det_Group_number"	"Det_IO_type"	"Det_crate_number"	"Det_slot_number"	"Det_address_number"	"PMT_A_name"	"PMT_A_serial_number"	"PMT_B_name"	"PMT_B_serial_number"	"DAC_A_IO_type"	"DAC_A_crate"	"DAC_A_slot"	"DAC_A_address"	"DAC_A_cablename"	"DAC_A_panelname"	"DAC_A_connectorname"	"DAC_A_HV_setting"	"DAC_A_old_HV_setting"	"DAC_A_lastchange"	"DAC_A_to Histgram_gain"	"DAC_A_min_volt"	"DAC_A_max_volt"	"DAC_B_IO_type"	"DAC_B_crate"	"DAC_B_slot"	"DAC_B_address"	"DAC_B_cablename"	"DAC_B_panelname"	"DAC_B_connectorname"	"DAC_B_HV_setting"	"DAC_B_old_HV_setting"	"DAC_B_lastchange"	"DAC_B_to Histgram_gain"	"DAC_B_min_volt"	"DAC_B_max_volt"	"Pileup_res_time"	"Doublett_res_time"	"Dead_time"	"Count_rate_peak"	"Count_rate_CPS_last_minute"	"Count_rate_CPS_total"	"Total_counts_last_minute"	"Total_counts_this_run"	"Max_rate_tolerated"	"Min_rate_tolerated"	"Signal_integral"	"Time_offset"	"Time_offset_old"	"Time_offset_changed"	"Time_offset_manual"	"Gain_gamma_keV_ch"	"Gain_neutron_keV_ch"	"Element_for_Calibration"	"Center_gravity_137Cs"	"Center_gravity_60Co"	"Center_gravity_Natural"	"Center_gravity_Pu"	"Center_gravity_238U"	"Center_gravity_252Cf"	"Center_gravity_Other"	"Det_center_X"	"Det_center_Y"	"Det_center_Z"	"Det_dimension_X"	"Det_dimension_Y"	"Det_dimension_Z"	"Det_rotation_angle"	"FPGA_threshold_mV"	"FPGA_filter_width"	"Noise_AC_limit"	"Noise_AC_average"	"Digitizer_full_range"	"input_offset_target"	"Input_offset_gain"	"Input_offset_value"	"Digitizer_full_scale"	"Input_invert"	"FPGA_pilup_low"	"FPGA_pilup_high"	"FPGA_master_gate_low"	"FPGA_master_gate_high"	"FPGA_peak_gate_low"	"FPGA_peak_gate_high"	"FPGA_short_tail_gate_low"	"FPGA_short_tail_gate_high"	"FPGA_medium_tail_gate_low"	"FPGA_medium_tail_gate_high"	"FPGA_long_tail_gate_low"	"FPGA_long_tail_gate_high"	"FPGA_CF_gate_1_low"	"FPGA_CF_gate_1_high"	"FPGA_CF_gate_2_low"	"FPGA_CF_gate_2_high"	"FPGA_pre_pulse_gate_low"	"FPGA_pre_pulse_gate_high"	"FPGA_filter_width_ch"	"FPGA_pilup_low_ch"	"FPGA_pilup_high_ch"	"FPGA_master_gate_low_ch"	"FPGA_master_gate_high_ch"	"FPGA_peak_gate_low_ch"	"FPGA_peak_gate_high_ch"	"FPGA_short_tail_gate_low_ch"	"FPGA_short_tail_gate_high_ch"	"FPGA_medium_tail_gate_low_ch"	"FPGA_medium_tail_gate_high_ch"	"FPGA_long_tail_gate_low_ch"	"FPGA_long_tail_gate_high_ch"	"FPGA_CF_gate_1_low_ch"	"FPGA_CF_gate_1_high_ch"	"FPGA_CF_gate_2_low_ch"	"FPGA_CF_gate_2_high_ch"	"FPGA_pre_pulse_gate_low_ch"	"FPGA_pre_pulse_gate_high_ch"	"Threshold_mV"	"Weighting_gain"	"Weighting_offset"	"Det_efficiency_percent"	"Timing_uncertainty_FWHM"	"Timing_uncertainty_full"	"Gamma_tail_low"	"Gamma_tail_high"	"Neutron_tail_low"	"Neutron_tail_high"	"Gate_banana_used"	"Tail_quality_needed"	"Total_gamma_counts"	"Total_neutron_counts"	"Neutron_counts_CPS"	"Trigger_to_gamma_ratio"	"Trigger_to_neutron_ratio"	"Tail_short_needed_low"	"Tail_short_needed_high"	"Tail_medium_needed_low"	"Tail_medium_needed_high"	"Tail_long_needed_low"	"Tail_long_needed_high"	"Digitizer_time_per_sample"	"Pulse_height_gain"	"Pulse_height_histogram_length"	"Rate_histogram_length"	"Timing_spectrum_length"	"Timing_spectrum_gain"	"Pulse_shape_spectrum_length"	"GN_2D_length_X"	"GN_2D_length_Y"	"GN_2D_gain_X"	"GN_2D_gain_Y"	"Histogram_compression"	"Energy_histogram_length"
35		35	"Muon_11"	1	"Muon"	11	"express"	1	6	2	"PMT_Mu11_A"				"express"	1	14	20	"G-35"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
36		36	"Muon_12"	1	"Muon"	12	"express"	1	6	3	"PMT_Mu12_A"				"express"	1	14	22	"G-36"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
37		37	"Muon_13"	1	"Muon"	13	"express"	1	6	4	"PMT_Mu13_A"				"express"	1	14	24	"G-37"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
38		38	"Muon_14"	1	"Muon"	14	"express"	1	6	5	"PMT_Mu14_A"				"express"	1	14	26	"G-38"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
39		39	"Muon_15"	1	"Muon"	15	"express"	1	6	6	"PMT_Mu15_A"				"express"	1	14	28	"G-39"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
40		40	"Muon_16"	1	"Muon"	16	"express"	1	6	7	"PMT_Mu16_A"				"express"	1	14	30	"G-40"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
41		41	"Muon_17"	1	"Muon"	17	"express"	1	7	0	"PMT_Mu17_A"				"express"	1	13	24	"G-41"	"P-2"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
42		42	"Muon_18"	1	"Muon"	18	"express"	1	7	1	"PMT_Mu18_A"				"express"	1	13	26	"G-42"	"P-2"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
43		43	"3HE_01"	1	"3He"	1	"express"	1	2	8																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
44		44	"3HE_02"	1	"3He"	2	"express"	1	2	9																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
45		45	"3HE_03"	1	"3He"	3	"express"	1	2	10	"3He_CW01_A"				"express"	1	12	24		"P-1"		1.4	1.4			1.5	1.5												1.5			400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
46		46	"3HE_04"	1	"3He"	4	"express"	1	2	11																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
47		47	"3HE_05"	1	"3He"	5	"express"	1	2	12																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
48		48	"3HE_06"	1	"3He"	6	"express"	1	2	13																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
49		49	"3HE_07"	1	"3He"	7	"express"	1	2	14																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
50		50	"3HE_08"	1	"3He"	8	"express"	1	2	15			"3He_CW01_A"															"express"	1	12	25		"P-1"		1.4	1.4				1.5		400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
51		51	"3HE_09"	1	"3He"	9	"express"	1	3	8																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
52		52	"3HE_10"	1	"3He"	10	"express"	1	3	9																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
53		53	"3HE_11"	1	"3He"	11	"express"	1	3	10																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
54		54	"3HE_12"	1	"3He"	12	"express"	1	3	11																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
55		55	"3HE_13"	1	"3He"	13	"express"	1	3	12	"3He_CW01_B"				"express"	1	12	26		"P-1"		1.4	1.4			1.5	1.5												1.5			400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
56		56	"3HE_14"	1	"3He"	14	"express"	1	3	13																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
57		57	"3HE_15"	1	"3He"	15	"express"	1	3	14																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
58		58	"3HE_16"	1	"3He"	16	"express"	1	3	15																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
59		59	"3HE_17"	1	"3He"	17	"express"	1	4	8																																400	600	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
