	"C++ variable name"	"Det_number"	"Det_name"	"Det_active"	"Det_Group"	"Det_Group_number"	"Det_IO_type"	"Det_crate_number"	"Det_slot_number"	"Det_address_number"	"PMT_A_name"	"PMT_A_serial_number"	"PMT_B_name"	"PMT_B_serial_number"	"DAC_A_IO_type"	"DAC_A_crate"	"DAC_A_slot"	"DAC_A_address"	"DAC_A_cablename"	"DAC_A_panelname"	"DAC_A_connectorname"	"DAC_A_HV_setting"	"DAC_A_old_HV_setting"	"DAC_A_lastchange"	"DAC_A_to Histgram_gain"	"DAC_A_min_volt"	"DAC_A_max_volt"	"DAC_B_IO_type"	"DAC_B_crate"	"DAC_B_slot"	"DAC_B_address"	"DAC_B_cablename"	"DAC_B_panelname"	"DAC_B_connectorname"	"DAC_B_HV_setting"	"DAC_B_old_HV_setting"	"DAC_B_lastchange"	"DAC_B_to Histgram_gain"	"DAC_B_min_volt"	"DAC_B_max_volt"	"Pileup_res_time"	"Doublett_res_time"	"Dead_time"	"Count_rate_peak"	"Count_rate_CPS_last_minute"	"Count_rate_CPS_total"	"Total_counts_last_minute"	"Total_counts_this_run"	"Max_rate_tolerated"	"Min_rate_tolerated"	"Signal_integral"	"Time_offset"	"Time_offset_old"	"Time_offset_changed"	"Time_offset_manual"	"Gain_gamma_keV_ch"	"Gain_neutron_keV_ch"	"Element_for_Calibration"	"Center_gravity_137Cs"	"Center_gravity_60Co"	"Center_gravity_Natural"	"Center_gravity_Pu"	"Center_gravity_238U"	"Center_gravity_252Cf"	"Center_gravity_Other"	"Det_center_X"	"Det_center_Y"	"Det_center_Z"	"Det_dimension_X"	"Det_dimension_Y"	"Det_dimension_Z"	"Det_rotation_angle"	"FPGA_threshold_mV"	"FPGA_filter_width"	"Noise_AC_limit"	"Noise_AC_average"	"Digitizer_full_range"	"input_offset_target"	"Input_offset_gain"	"Input_offset_value"	"Digitizer_full_scale"	"Input_invert"	"FPGA_pilup_low"	"FPGA_pilup_high"	"FPGA_master_gate_low"	"FPGA_master_gate_high"	"FPGA_peak_gate_low"	"FPGA_peak_gate_high"	"FPGA_short_tail_gate_low"	"FPGA_short_tail_gate_high"	"FPGA_medium_tail_gate_low"	"FPGA_medium_tail_gate_high"	"FPGA_long_tail_gate_low"	"FPGA_long_tail_gate_high"	"FPGA_CF_gate_1_low"	"FPGA_CF_gate_1_high"	"FPGA_CF_gate_2_low"	"FPGA_CF_gate_2_high"	"FPGA_pre_pulse_gate_low"	"FPGA_pre_pulse_gate_high"	"FPGA_filter_width_ch"	"FPGA_pilup_low_ch"	"FPGA_pilup_high_ch"	"FPGA_master_gate_low_ch"	"FPGA_master_gate_high_ch"	"FPGA_peak_gate_low_ch"	"FPGA_peak_gate_high_ch"	"FPGA_short_tail_gate_low_ch"	"FPGA_short_tail_gate_high_ch"	"FPGA_medium_tail_gate_low_ch"	"FPGA_medium_tail_gate_high_ch"	"FPGA_long_tail_gate_low_ch"	"FPGA_long_tail_gate_high_ch"	"FPGA_CF_gate_1_low_ch"	"FPGA_CF_gate_1_high_ch"	"FPGA_CF_gate_2_low_ch"	"FPGA_CF_gate_2_high_ch"	"FPGA_pre_pulse_gate_low_ch"	"FPGA_pre_pulse_gate_high_ch"	"Threshold_mV"	"Weighting_gain"	"Weighting_offset"	"Det_efficiency_percent"	"Timing_uncertainty_FWHM"	"Timing_uncertainty_full"	"Gamma_tail_low"	"Gamma_tail_high"	"Neutron_tail_low"	"Neutron_tail_high"	"Gate_banana_used"	"Tail_quality_needed"	"Total_gamma_counts"	"Total_neutron_counts"	"Neutron_counts_CPS"	"Trigger_to_gamma_ratio"	"Trigger_to_neutron_ratio"	"Tail_short_needed_low"	"Tail_short_needed_high"	"Tail_medium_needed_low"	"Tail_medium_needed_high"	"Tail_long_needed_low"	"Tail_long_needed_high"	"Digitizer_time_per_sample"	"Pulse_height_gain"	"Pulse_height_histogram_length"	"Rate_histogram_length"	"Timing_spectrum_length"	"Timing_spectrum_gain"	"Pulse_shape_spectrum_length"	"GN_2D_length_X"	"GN_2D_length_Y"	"GN_2D_gain_X"	"GN_2D_gain_Y"	"Histogram_compression"	"Energy_histogram_length"
130		130	"FAST_N_30"	0	"Xylene"	30	"USB_1"	1	6	5	"PMT_N30"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
131		131	"FAST_N_31"	0	"Xylene"	31	"USB_1"	1	6	6	"PMT_N31"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
132		132	"FAST_N_32"	0	"Xylene"	32	"USB_1"	1	6	7	"PMT_N32"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
133		133	"FAST_N_33"	0	"Xylene"	33	"USB_1"	1	7	0	"PMT_N33"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
134		134	"FAST_N_34"	0	"Xylene"	34	"USB_1"	1	7	1	"PMT_N34"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
135		135	"FAST_N_35"	0	"Xylene"	35	"USB_1"	1	7	2	"PMT_N35"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
136		136	"FAST_N_36"	0	"Xylene"	36	"USB_1"	1	7	3	"PMT_N36"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
137		137	"FAST_N_37"	0	"Xylene"	37	"USB_1"	1	7	4	"PMT_N37"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
138		138	"FAST_N_38"	0	"Xylene"	38	"USB_1"	1	7	5	"PMT_N38"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
139		139	"FAST_N_39"	0	"Xylene"	39	"USB_1"	1	7	6	"PMT_N39"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
140		140	"FAST_N_40"	0	"Xylene"	40	"USB_1"	1	7	7	"PMT_N40"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
141		141	"FAST_N_41"	0	"Xylene"	41	"USB_1"	1	8	0	"PMT_N41"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
142		142	"FAST_N_42"	0	"Xylene"	42	"USB_1"	1	8	1	"PMT_N42"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
143		143	"FAST_N_43"	0	"Xylene"	43	"USB_1"	1	8	2	"PMT_N43"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
144		144	"FAST_N_44"	0	"Xylene"	44	"USB_1"	1	8	3	"PMT_N44"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
145		145	"FAST_N_45"	0	"Xylene"	45	"USB_1"	1	8	4	"PMT_N45"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
146		146	"FAST_N_46"	0	"Xylene"	46	"USB_1"	1	8	5	"PMT_N46"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
147		147	"FAST_N_47"	0	"Xylene"	47	"USB_1"	1	8	6	"PMT_N47"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
148		148	"FAST_N_48"	0	"Xylene"	48	"USB_1"	1	8	7	"PMT_N48"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
149		149	"FAST_N_49"	0	"Xylene"	49	"USB_1"	1	9	0	"PMT_N49"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
150		150	"FAST_N_50"	0	"Xylene"	50	"USB_1"	1	9	1	"PMT_N50"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
151		151	"FAST_N_51"	0	"Xylene"	51	"USB_1"	1	9	2	"PMT_N51"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
152		152	"FAST_N_52"	0	"Xylene"	52	"USB_1"	1	9	3	"PMT_N52"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
153		153	"FAST_N_53"	0	"Xylene"	53	"USB_1"	1	9	4	"PMT_N53"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
154		154	"FAST_N_54"	0	"Xylene"	54	"USB_1"	1	9	5	"PMT_N54"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
155		155	"FAST_N_55"	0	"Xylene"	55	"USB_1"	1	9	6	"PMT_N55"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
156		156	"FAST_N_56"	0	"Xylene"	56	"USB_1"	1	9	7	"PMT_N56"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
157		157	"FAST_N_57"	0	"Xylene"	57	"USB_1"	1	10	0	"PMT_N57"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
158		158	"FAST_N_58"	0	"Xylene"	58	"USB_1"	1	10	1	"PMT_N58"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
159		159	"FAST_N_59"	0	"Xylene"	59	"USB_1"	1	10	2	"PMT_N59"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
160		160	"FAST_N_60"	0	"Xylene"	60	"USB_1"	1	10	3	"PMT_N60"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
161		161	"FAST_N_61"	0	"Xylene"	61	"USB_1"	1	10	4	"PMT_N61"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
162		162	"FAST_N_62"	0	"Xylene"	62	"USB_1"	1	10	5	"PMT_N62"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
163		163	"FAST_N_63"	0	"Xylene"	63	"USB_1"	1	10	6	"PMT_N63"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
164		164	"FAST_N_64"	0	"Xylene"	64	"USB_1"	1	10	7	"PMT_N64"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
165		165	"FAST_N_65"	0	"Xylene"	65	"USB_1"	1	11	0	"PMT_N65"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
166		166	"FAST_N_66"	0	"Xylene"	66	"USB_1"	1	11	1	"PMT_N66"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
167		167	"FAST_N_67"	0	"Xylene"	67	"USB_1"	1	11	2	"PMT_N67"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
168		168	"FAST_N_68"	0	"Xylene"	68	"USB_1"	1	11	3	"PMT_N68"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
169		169	"FAST_N_69"	0	"Xylene"	69	"USB_1"	1	11	4	"PMT_N69"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
170		170	"FAST_N_70"	0	"Xylene"	70	"USB_1"	1	11	5	"PMT_N70"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
171		171	"FAST_N_71"	0	"Xylene"	71	"USB_1"	1	11	6	"PMT_N71"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
172		172	"FAST_N_72"	0	"Xylene"	72	"USB_1"	1	11	7	"PMT_N72"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
173		173	"FAST_N_73"	0	"Xylene"	73	"USB_1"	1	12	0	"PMT_N73"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
174		174	"FAST_N_74"	0	"Xylene"	74	"USB_1"	1	12	1	"PMT_N74"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
175		175	"FAST_N_75"	0	"Xylene"	75	"USB_1"	1	12	2	"PMT_N75"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
176		176	"FAST_N_76"	0	"Xylene"	76	"USB_1"	1	12	3	"PMT_N76"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
177		177	"FAST_N_77"	0	"Xylene"	77	"USB_1"	1	12	4	"PMT_N77"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
178		178	"FAST_N_78"	0	"Xylene"	78	"USB_1"	1	12	5	"PMT_N78"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
179		179	"FAST_N_79"	0	"Xylene"	79	"USB_1"	1	12	6	"PMT_N79"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
180		180	"FAST_N_80"	0	"Xylene"	80	"USB_1"	1	12	7	"PMT_N80"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
181		181	"FAST_N_81"	0	"Xylene"	81	"USB_1"	1	13	0	"PMT_N81"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
182		182	"FAST_N_82"	0	"Xylene"	82	"USB_1"	1	13	1	"PMT_N82"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
183		183	"FAST_N_83"	0	"Xylene"	83	"USB_1"	1	13	2	"PMT_N83"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
184		184	"FAST_N_84"	0	"Xylene"	84	"USB_1"	1	13	3	"PMT_N84"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
185		185	"FAST_N_85"	0	"Xylene"	85	"USB_1"	1	13	4	"PMT_N85"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
186		186	"FAST_N_86"	0	"Xylene"	86	"USB_1"	1	13	5	"PMT_N86"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
187		187	"FAST_N_87"	0	"Xylene"	87	"USB_1"	1	13	6	"PMT_N87"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
188		188	"FAST_N_88"	0	"Xylene"	88	"USB_1"	1	13	7	"PMT_N88"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
189		189	"FAST_N_89"	0	"Xylene"	89	"USB_1"	1	14	0	"PMT_N89"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
190		190	"FAST_N_90"	0	"Xylene"	90	"USB_1"	1	14	1	"PMT_N90"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
191		191	"FAST_N_91"	0	"Xylene"	91	"USB_1"	1	14	2	"PMT_N91"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
192		192	"FAST_N_92"	0	"Xylene"	92	"USB_1"	1	14	3	"PMT_N92"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
193		193	"FAST_N_93"	0	"Xylene"	93	"USB_1"	1	14	4	"PMT_N93"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
194		194	"FAST_N_94"	0	"Xylene"	94	"USB_1"	1	14	5	"PMT_N94"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
195		195	"FAST_N_95"	0	"Xylene"	95	"USB_1"	1	14	6	"PMT_N95"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
196		196	"FAST_N_96"	0	"Xylene"	96	"USB_1"	1	14	7	"PMT_N96"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
197		197	"FAST_N_97"	0	"Stilbene"	97	"USB_1"	1	15	0	"PMT_N97"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
198		198	"FAST_N_98"	0	"Stilbene"	98	"USB_1"	1	15	1	"PMT_N98"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
199		199	"FAST_N_99"	0	"Stilbene"	99	"USB_1"	1	15	2	"PMT_N99"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
200		200	"FAST_N_100"	0	"Stilbene"	100	"USB_1"	1	15	3	"PMT_N100"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
201		201	"FAST_N_101"	0	"Stilbene"	101	"USB_1"	1	15	4	"PMT_N101"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
202		202	"FAST_N_102"	0	"Stilbene"	102	"USB_1"	1	15	5	"PMT_N102"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
203		203	"FAST_N_103"	0	"Stilbene"	103	"USB_1"	1	15	6	"PMT_N103"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
204		204	"FAST_N_104"	0	"Stilbene"	104	"USB_1"	1	15	7	"PMT_N104"				"USB_2"	1																																																									30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40																																																		256	256	32	500	5	4096
